carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
air-namibia,Air Namibia,SW,Namibia,Scheduled,,,,,,,,,,,,,,yes,no
air-niamey,Air Niamey,A7,Niger,Low-cost,,,,,,,,,,,,,,yes,no
air-niugini,Air Niugini,PX,Papua New Guinea,Scheduled,,,,https://www.airniugini.com.pg,,,,,,,https://www.airniugini.com.pg/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-north,Air North,4N,Canada,Scheduled,,,,https://www.flyairnorth.com,,,,,,,https://www.flyairnorth.com/support,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-nostrum,Air Nostrum,YW,Spain,Scheduled,,,,,,,,,,,,,,yes,no
air-ocean-airlines,Air Ocean Airlines,0O,Ukraine,Scheduled,,,,,,,,,,,,,,no,no
air-panama,Air Panama,7P,Panama,Scheduled,,,,,,,,,,,,,,no,no
air-peace,Air Peace,P4,Honduras,Low-cost,,,,,,,,,,,,,,no,no
air-premia,Air Premia,YP,South Korea,Scheduled,,,,,,,,,,,,,,no,no
air-rarotonga,Air Rarotonga,GZ,Cook Islands,Scheduled,,,,,,,,,,,,,,yes,no
air-saint-pierre,Air Saint Pierre,PJ,France,Scheduled,,,,,,,,,,,,,,yes,no
air-samarkand,Air Samarkand,9S,Uzbekistan,Scheduled,,,,,,,,,,,,,,no,no
air-seoul,Air Seoul,RS,South Korea,Low-cost,,,,,,,,,,,,,,no,no
air-serbia,Air Serbia,JU,Serbia,Scheduled,,,,https://www.airserbia.com,,,,,,,https://www.airserbia.com/en/footer_copy_menu/legal/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-seychelles,Air Seychelles,HM,Seychelles,Scheduled,,,,https://www.airseychelles.com,,,,,,,https://www.airseychelles.com/en/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tahiti,Air Tahiti,VT,French Polynesia,Scheduled,,,,https://www.airtahitinui.com,,,,,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tahiti-nui,Air Tahiti Nui,TN,France,Scheduled,,,,https://www.airtahitinui.com,,,,,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tanzania,Air Tanzania,TC,Tanzania,Scheduled,,,,https://www.airtanzania.co.tz,,,,,,,https://www.airtanzania.co.tz/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-thanlwin,Air Thanlwin,ST,Myanmar,Scheduled,,,,,,,,,,,,,,yes,no
air-timor,Air Timor,6C,Timor-Leste,Scheduled,,,,,,,,,,,,,,no,no
air-tindi,Air Tindi,8T,Canada,Scheduled,,,,,,,,,,,,,,yes,no
air-transat,Air Transat,TS,Canada,Scheduled,,,,https://www.airtransat.com,,,,,,,https://www.airtransat.com/en-GB/legal-notice-uk/general-terms-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-transport-association-of-americadba-airlines-for-america,Air Transport Association of Americad\b\a Airlines for America,XD,United States,Scheduled,,,,,,,,,,,,,,no,no
air-transport-international-llc,Air Transport International L.L.C.,8C,United States,Scheduled,,,,,,,,,,,,,,yes,no
air-travel,Air Travel,A6,China,Scheduled,,,,,,,,,,,,,,no,no
